0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3575.0,3483.0,3166.0,3074.0,2950.0,2867.0,2822.0,2736.0,2217.0,1761.0,881.0,500.0,247.0,170.0,93.0,59.0,28.0,18.0,14.0,17.0,13.0,12.0,5.0,5.0,3.0,3.0
3601.0,3502.0,3139.0,3041.0,2963.0,2876.0,2801.0,2716.0,2176.0,1714.0,874.0,494.0,232.0,144.0,76.0,48.0,35.0,26.0,21.0,14.0,8.0,3.0,4.0,6.0,NaN,NaN
3870.0,3774.0,3415.0,3323.0,3138.0,3028.0,2950.0,2880.0,2275.0,1715.0,714.0,395.0,173.0,105.0,54.0,37.0,32.0,22.0,12.0,13.0,10.0,10.0,NaN,NaN,NaN,NaN
3909.0,3821.0,3504.0,3390.0,3231.0,3153.0,3087.0,2968.0,2056.0,1362.0,491.0,242.0,115.0,65.0,41.0,33.0,24.0,17.0,14.0,13.0,NaN,NaN,NaN,NaN,NaN,NaN
3885.0,3789.0,3479.0,3363.0,3225.0,3128.0,3048.0,2959.0,1897.0,1169.0,464.0,245.0,137.0,91.0,60.0,45.0,32.0,28.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4055.0,3957.0,3638.0,3540.0,3359.0,3232.0,3170.0,3032.0,1802.0,1048.0,420.0,213.0,117.0,72.0,50.0,33.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3834.0,3724.0,3384.0,3254.0,3090.0,2987.0,2893.0,2712.0,1467.0,870.0,352.0,189.0,108.0,86.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3706.0,3588.0,3223.0,3040.0,2839.0,2765.0,2653.0,2493.0,1295.0,748.0,300.0,206.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4431.0,4252.0,3846.0,3639.0,3457.0,3353.0,3239.0,2973.0,1532.0,941.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4627.0,4444.0,4098.0,3855.0,3606.0,3499.0,3359.0,3145.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4412.0,4167.0,3814.0,3600.0,3354.0,3271.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4411.0,4175.0,3745.0,3618.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4831.0,4622.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
